cnt,pos,speed,DTorque,DAC,STorque
0,-245,0.0024,-15,0,0
1,-245,-0.0012,-15,0,0
2,-245,0,-15,0,0
3,-245,-0.0012,-15,0,0
4,-245,0.0036,-15,0,0
5,-245,-0.0024,-15,0,0
6,-245,-0.0012,-15,0,0
7,-245,0.0012,-15,0,0
8,-245,0.0012,-15,0,0
9,-245,0.0024,-15,0,0
10,-245,0.006,-15,0,0
11,-245,0.006,-15,0,0
12,-245,-0.0012,-15,0,0
13,-245,-0.0024,-15,0,0
14,-245,-0.0024,-15,0,0
15,-245,0,-15,0,0
16,-245,-0.0012,-15,0,0
17,-245,0.0012,-15,0,0
18,-245,-0.0012,-15,0,0
19,-245,0.0012,-15,0,0
20,-245,0.0012,-15,0,0
21,-245,0,-15,0,0
22,-245,-0.0048,-15,0,0
23,-245,-0.0048,-15,0,0
24,-245,0.0036,-15,0,0
25,-245,0.0036,-15,0,0
26,-245,-0.0036,-15,0,0
27,-245,-0.006,-15,0,0
28,-245,0.0012,-14,0,0
29,-245,0.0036,-15,0,0
30,-245,-0.0036,-15,0,0
31,-245,0.0012,-15,0,0
32,-245,0.0024,-15,0,0
33,-245,0.0012,-15,0,0
34,-245,0.0048,-15,0,0
35,-245,-0.0036,-15,0,0
36,-245,-0.0072,-15,0,0
37,-245,0.0012,-15,0,0
38,-245,0.006,-15,0,0
39,-245,0.0012,-15,0,0
40,-245,0.0036,-15,0,0
41,-245,0.0012,-15,0,0
42,-245,-0.0024,-15,0,0
43,-245,-0.0012,-15,0,0
44,-245,0.0048,-15,0,0
45,-245,0.0012,-15,0,0
46,-245,-0.006,-15,0,0
47,-245,0,-15,0,0
48,-245,0.0024,-15,0,0
49,-245,0.0036,-15,0,0
50,-245,0.0048,-15,0,0
51,-245,-0.0024,-14,0,0
52,-245,-0.0036,-15,0,0
53,-245,0,-15,0,0
54,-245,-0.0012,-15,0,0
55,-245,-0.0048,-15,0,0
56,-245,0.0036,-15,0,0
57,-245,0.0036,-15,0,0
58,-245,0.0036,-15,0,0
59,-245,0.0012,-15,0,0
60,-245,0.0012,-15,0,0
61,-245,-0.0072,-15,0,0
62,-245,-0.0048,-15,0,0
63,-245,0.0024,-15,0,0
64,-245,0.0012,-15,0,0
65,-245,0,-15,0,0
66,-245,0.0012,-15,0,0
67,-245,0.0012,-15,0,0
68,-245,-0.0024,-15,0,0
69,-245,0.0024,-15,0,0
70,-245,0,-15,0,0
71,-245,-0.0012,-15,0,0
72,-245,0.0012,-15,0,0
73,-245,-0.0012,-15,0,0
74,-245,0.0036,-15,0,0
75,-245,0.0024,-15,0,0
76,-245,0,-15,0,0
77,-245,0.0012,-15,0,0
78,-245,-0.0012,-15,0,0
79,-245,-0.0012,-15,0,0
80,-245,-0.0024,-15,0,0
81,-245,0.0024,-15,0,0
82,-245,0.0024,-15,0,0
83,-245,-0.0012,-15,0,0
84,-245,0.0024,-15,0,0
85,-245,-0.0048,-15,0,0
86,-245,0.0012,-15,0,0
87,-245,-0.0024,-15,0,0
88,-245,0.0036,-15,0,0
89,-245,0.0012,-15,0,0
90,-245,-0.0012,-15,0,0
91,-245,-0.0012,-15,0,0
92,-245,0,-15,0,0
93,-245,-0.0024,-15,0,0
94,-245,0,-15,0,0
95,-245,0.0012,-15,0,0
96,-245,0.0024,-15,0,0
97,-245,0.0012,-15,0,0
98,-245,0,-15,0,0
99,-245,-0.0012,-15,0,0
100,-245,0,-14,0,0
101,-245,0.0036,-15,0,0
102,-245,0,-15,0,0
103,-245,0.0036,-15,0,0
104,-245,0.0048,-15,0,0
105,-245,-0.0024,-15,0,0
106,-245,0.0012,-15,0,0
107,-245,-0.0012,-15,0,0
108,-245,0.0012,-15,0,0
109,-245,0.0036,-15,0,0
110,-245,0.0012,-15,0,0
111,-245,-0.0012,-15,0,0
112,-245,0,-15,0,0
113,-245,-0.0024,-15,0,0
114,-245,-0.0036,-15,0,0
115,-245,0,-14,0,0
116,-245,0.0024,-15,0,0
117,-245,0.0012,-15,0,0
118,-245,-0.0036,-15,0,0
119,-245,0.0024,-15,0,0
120,-245,0.0024,-15,0,0
121,-245,0.0024,-15,0,0
122,-245,0.0012,-15,0,0
123,-245,-0.0036,-15,0,0
124,-245,0,-15,0,0
125,-245,0.0024,-14,0,0
126,-245,0.0024,-15,0,0
127,-245,-0.0048,-15,0,0
128,-245,-0.0012,-15,0,0
129,-245,-0.0024,-15,0,0
130,-245,-0.0036,-15,0,0
131,-245,-0.0012,-15,0,0
132,-245,0.0012,-15,0,0
133,-245,0.0012,-15,0,0
134,-245,-0.0012,-15,0,0
135,-245,0.0012,-15,0,0
136,-245,0.0012,-15,0,0
137,-245,0,-15,0,0
138,-245,-0.0036,-15,0,0
139,-245,-0.0024,-15,0,0
140,-245,0,-15,0,0
141,-245,0.0024,-15,0,0
142,-245,0.0024,-15,0,0
143,-245,0,-15,0,0
144,-245,-0.0012,-15,0,0
145,-245,-0.0012,-15,0,0
146,-245,0.0024,-15,0,0
147,-245,0,-15,0,0
148,-245,0,-15,0,0
149,-245,-0.0024,-15,0,0
150,-245,0.0012,-15,0,0
151,-245,-0.0036,-15,0,0
152,-245,-0.0036,-15,0,0
153,-245,-0.0024,-15,0,0
154,-245,0.0036,-15,0,0
155,-245,0.0036,-15,0,0
156,-245,0.0012,-15,0,0
157,-245,-0.006,-15,0,0
158,-245,0.0024,-15,0,0
159,-245,0.0024,-15,0,0
160,-245,0.0024,-15,0,0
161,-245,0.0012,-15,0,0
162,-245,-0.006,-15,0,0
163,-245,-0.0024,-15,0,0
164,-245,0,-15,0,0
165,-245,0.0024,-15,0,0
166,-245,0.0012,-15,0,0
167,-245,0,-15,0,0
168,-245,0.0012,-14,0,0
169,-245,0,-15,0,0
170,-245,-0.0048,-15,0,0
171,-245,-0.0024,-15,0,0
172,-245,0,-15,0,0
173,-245,0.0024,-15,0,0
174,-245,0,-15,0,0
175,-245,0.0012,-15,0,0
176,-245,-0.0036,-15,0,0
177,-245,-0.0036,-15,0,0
178,-245,-0.0048,-15,0,0
179,-245,0.006,-15,0,0
180,-245,0.0036,-15,0,0
181,-245,0,-15,0,0
182,-245,-0.0036,-15,0,0
183,-245,0.0012,-15,0,0
184,-245,0.0012,-15,0,0
185,-245,-0.0036,-15,0,0
186,-245,-0.0024,-15,0,0
187,-245,0,-15,0,0
188,-245,0,-15,0,0
189,-245,0,-15,0,0
190,-245,0.0012,-15,0,0
191,-245,-0.0036,-15,0,0
192,-245,0.0024,-15,0,0
193,-245,-0.0024,-15,0,0
194,-245,0.0024,-15,0,0
195,-245,0,-15,0,0
196,-245,-0.0024,-15,0,0
197,-245,0.0012,-15,0,0
198,-245,0.0048,-15,0,0
199,-245,0.0024,-15,0,0
200,-245,0.006,-15,0,0
201,-245,-0.0024,-15,0,0
202,-245,0.0036,-15,0,0
203,-245,-0.0036,-15,0,0
204,-245,0.0012,-15,0,0
205,-245,-0.0024,-15,0,0
206,-245,-0.0012,-15,0,0
207,-245,-0.0012,-15,0,0
208,-245,0.0012,-15,0,0
209,-245,0.0024,-15,0,0
210,-245,0,-15,0,0
211,-245,-0.0012,-15,0,0
212,-245,0,-15,0,0
213,-245,0,-15,0,0
214,-245,-0.0024,-15,0,0
215,-245,-0.0012,-15,0,0
216,-245,0,-15,0,0
217,-245,-0.0024,-15,0,0
218,-245,-0.0024,-15,0,0
219,-245,0.0036,-15,0,0
220,-245,0.0012,-14,0,0
221,-245,0,-15,0,0
222,-245,-0.0048,-15,0,0
223,-245,-0.0036,-15,0,0
224,-245,-0.0048,-15,0,0
225,-245,0.0012,-15,0,0
226,-245,0.0024,-15,0,0
227,-245,0,-15,0,0
228,-245,-0.0012,-15,0,0
229,-245,-0.0024,-15,0,0
230,-245,-0.0012,-15,0,0
231,-245,0,-15,0,0
232,-245,0.0036,-15,0,0
233,-245,0,-14,0,0
234,-245,0.0024,-15,0,0
235,-245,0,-15,0,0
236,-245,-0.0024,-15,0,0
237,-245,0,-15,0,0
238,-245,-0.0012,-15,0,0
239,-245,-0.0012,-15,0,0
240,-245,0.0012,-15,0,0
241,-245,-0.0012,-15,0,0
242,-245,0,-15,0,0
243,-245,0.0012,-15,0,0
244,-245,0,-15,0,0
245,-245,0,-15,0,0
246,-245,0,-15,0,0
247,-245,0,-15,0,0
248,-245,0.0024,-15,0,0
249,-245,-0.0024,-15,0,0
250,-245,0,-15,0,0
251,-245,-0.0036,-15,0,0
252,-245,-0.0012,-15,0,0
253,-245,0.0012,-15,0,0
254,-245,-0.0048,-15,0,0
255,-245,0.0012,-15,0,0
256,-245,0,-15,0,0
257,-245,0.0024,-15,0,0
258,-245,0.0012,-15,0,0
259,-245,0.0012,-15,0,0
260,-245,-0.0012,-15,0,0
261,-245,-0.0036,-15,0,0
262,-245,-0.0012,-15,0,0
263,-245,0.0036,-15,0,0
264,-245,0.0036,-15,0,0
265,-245,0,-15,0,0
266,-245,0.0036,-15,0,0
267,-245,-0.0012,-15,0,0
268,-245,0.0048,-15,0,0
269,-245,-0.0036,-15,0,0
270,-245,-0.006,-15,0,0
271,-245,0.0012,-15,0,0
272,-245,0,-15,0,0
273,-245,0,-15,0,0
274,-245,-0.0012,-15,0,0
275,-245,0,-15,0,0
276,-245,-0.0024,-15,0,0
277,-245,0.006,-15,0,0
278,-245,0.0036,-15,0,0
279,-245,0,-15,0,0
280,-245,-0.0036,-15,0,0
281,-245,-0.0048,-15,0,0
282,-245,0.0095,-15,0,0
283,-245,0,-15,0,0
284,-245,0,-15,0,0
285,-245,-0.0024,-15,0,0
286,-245,0,-15,0,0
287,-245,0.0048,-15,0,0
288,-245,0.0024,-15,0,0
289,-245,-0.0024,-15,0,0
290,-245,-0.0036,-15,0,0
291,-245,-0.0024,-15,0,0
292,-245,0.0048,-15,0,0
293,-245,0.0048,-15,0,0
294,-245,0.006,-15,0,0
295,-245,-0.0012,-15,0,0
296,-245,0,-15,0,0
297,-245,-0.0024,-15,0,0
298,-245,-0.0012,-15,0,0
299,-245,-0.0024,-15,0,0
300,-245,-0.0012,-15,0,0
301,-245,0.0024,-15,0,0
302,-245,0.0024,-15,0,0
303,-245,-0.0024,-15,0,0
304,-245,-0.0012,-15,0,0
305,-245,0.0036,-15,0,0
306,-245,0.0012,-15,0,0
307,-245,0.0024,-15,0,0
308,-245,-0.0012,-15,0,0
309,-245,0.0036,-14,0,0
310,-245,-0.0036,-15,0,0
311,-245,-0.0012,-15,0,0
312,-245,0.006,-15,0,0
313,-245,0.0024,-15,0,0
314,-245,0.0012,-15,0,0
315,-245,0,-15,0,0
316,-245,-0.0024,-15,0,0
317,-245,-0.0012,-15,0,0
318,-245,0.0024,-15,0,0
319,-245,0.0024,-15,0,0
320,-245,0,-15,0,0
321,-245,0.0024,-15,0,0
322,-245,0.0024,-15,0,0
323,-245,-0.0012,-15,0,0
324,-245,0.0012,-14,0,0
325,-245,-0.0012,-15,0,0
326,-245,0.0012,-15,0,0
327,-245,-0.0048,-15,0,0
328,-245,-0.006,-15,0,0
329,-245,0.0036,-15,0,0
330,-245,0.0048,-15,0,0
331,-245,-0.0012,-15,0,0
332,-245,-0.0024,-15,0,0
333,-245,-0.0012,-15,0,0
334,-245,-0.0012,-15,0,0
335,-245,0.0048,-15,0,0
336,-245,0.0012,-15,0,0
337,-245,-0.0012,-15,0,0
338,-245,0,-15,0,0
339,-245,-0.0036,-15,0,0
340,-245,-0.0036,-15,0,0
341,-245,-0.0024,-15,0,0
342,-245,0.006,-15,0,0
343,-245,-0.0024,-15,0,0
344,-245,-0.0036,-14,0,0
345,-245,0,-15,0,0
346,-245,0.0024,-15,0,0
347,-245,-0.006,-15,0,0
348,-245,0.0036,-14,0,0
349,-245,0,-15,0,0
350,-245,-0.0024,-15,0,0
351,-245,0,-15,0,0
352,-245,-0.0024,-15,0,0
353,-245,0,-15,0,0
354,-245,-0.0012,-15,0,0
355,-245,-0.0012,-15,0,0
356,-245,0.0048,-15,0,0
357,-245,-0.0036,-15,0,0
358,-245,-0.0036,-15,0,0
359,-245,0,-15,0,0
360,-245,0.0024,-15,0,0
361,-245,0.0036,-15,0,0
362,-245,0.0012,-15,0,0
363,-245,-0.0036,-15,0,0
364,-245,-0.0012,-15,0,0
365,-245,0.0024,-15,0,0
366,-245,0.0012,-15,0,0
367,-245,0.0012,-15,0,0
368,-245,-0.0036,-15,0,0
369,-245,-0.0036,-15,0,0
370,-245,0.0024,-15,0,0
371,-245,-0.0024,-15,0,0
