cnt,pos,speed,DTorque,DAC,STorque,Force
0,-0.9964,-0.003,0,0,6500,0
1,-0.9964,0.0061,0,0,6500,0
2,-0.9964,-0.0091,0,0,6500,0
3,-0.9964,-0.0061,0,0,6500,0
4,-0.9964,-0.003,0,0,6500,0
5,-0.9964,-0.0091,0,0,6500,0
6,-0.9964,0.0061,0,0,6500,0
7,-0.9964,0,0,0,6500,0
8,-0.9964,-0.0061,0,0,6500,0
9,-0.9964,0.003,0,0,6500,0
10,-0.9964,0,0,0,6500,0
11,-0.9964,-0.0061,0,0,6500,0
12,-0.9964,0,0,0,6500,0
13,-0.9964,0.0061,0,0,6500,0
14,-0.9964,-0.0061,0,0,6500,0
15,-0.9964,-0.0061,0,0,6500,0
16,-0.9964,-0.003,0,0,6500,0
17,-0.9964,0.003,0,0,6500,0
18,-0.9964,0.003,0,0,6500,0
19,-0.9964,0,0,0,6500,0
20,-0.9964,-0.003,0,0,6500,0
21,-0.9964,0,0,0,6500,0
22,-0.9964,0,0,0,6500,0
23,-0.9964,-0.0061,0,0,6500,0
24,-0.9964,-0.003,0,0,6500,0
25,-0.9964,0,0,0,6500,0
26,-0.9964,-0.0091,0,0,6500,0
27,-0.9964,-0.0061,0,0,6500,0
28,-0.9964,-0.003,0,0,6500,0
29,-0.9964,0.003,0,0,6500,0
30,-0.9964,0,0,0,6500,0
31,-0.9964,0.0091,0,0,6500,0
32,-0.9964,-0.003,0,0,6500,0
33,-0.9964,0.003,0,0,6500,0
34,-0.9964,-0.003,0,0,6500,0
35,-0.9964,0.0061,0,0,6500,0
36,-0.9964,0,0,0,6500,0
37,-0.9964,0.003,0,0,6500,0
38,-0.9964,-0.003,0,0,6500,0
39,-0.9964,0,0,0,6500,0
40,-0.9964,0.0061,0,0,6500,0
41,-0.9964,0.003,0,0,6500,0
42,-0.9964,0.0061,0,0,6500,0
43,-0.9964,0,0,0,6500,0
44,-0.9964,-0.0061,0,0,6500,0
45,-0.9964,0,0,0,6500,0
46,-0.9964,0.003,0,0,6500,0
47,-0.9964,-0.003,0,0,6500,0
48,-0.9964,0.003,0,0,6500,0
49,-0.9964,0,0,0,6500,0
50,-0.9964,-0.0091,0,0,6500,0
51,-0.9965,0,0,0,6500,0
52,-0.9964,0,0,0,6500,0
53,-0.9964,0,0,0,6500,0
54,-0.9965,0.003,0,0,6500,0
55,-0.9965,0.003,0,0,6500,0
56,-0.9965,0,0,0,6500,0
57,-0.9965,-0.003,0,0,6500,0
58,-0.9965,0.0061,0,0,6500,0
59,-0.9965,-0.003,0,0,6500,0
60,-0.9965,0.003,0,0,6500,0
61,-0.9965,0.003,0,0,6500,0
62,-0.9965,0.003,0,0,6500,0
63,-0.9965,0.003,0,0,6500,0
64,-0.9965,0.003,0,0,6500,0
65,-0.9965,0.0091,0,0,6500,0
66,-0.9965,-0.003,0,0,6500,0
67,-0.9965,-0.003,0,0,6500,0
68,-0.9965,-0.003,0,0,6500,0
69,-0.9965,0,0,0,6500,0
70,-0.9965,-0.003,0,0,6500,0
71,-0.9965,0.003,0,0,6500,0
72,-0.9965,-0.003,0,0,6500,0
73,-0.9965,0.003,0,0,6500,0
74,-0.9965,0,0,0,6500,0
75,-0.9965,-0.003,0,0,6500,0
76,-0.9965,-0.003,0,0,6500,0
77,-0.9965,0,0,0,6500,0
78,-0.9965,0,0,0,6500,0
79,-0.9965,0,0,0,6500,0
80,-0.9965,-0.0061,0,0,6500,0
81,-0.9965,0.0061,0,0,6500,0
82,-0.9965,0.003,0,0,6500,0
83,-0.9965,0,0,0,6500,0
84,-0.9965,0,0,0,6500,0
85,-0.9965,0,0,0,6500,0
86,-0.9965,0,0,0,6500,0
87,-0.9965,-0.0061,0,0,6500,0
88,-0.9965,0,0,0,6500,0
89,-0.9965,0.0061,0,0,6500,0
90,-0.9965,0.003,0,0,6500,0
91,-0.9965,-0.003,0,0,6500,0
92,-0.9965,0.003,0,0,6500,0
93,-0.9965,0.003,0,0,6500,0
94,-0.9965,-0.0061,0,0,6500,0
95,-0.9965,0,0,0,6500,0
96,-0.9965,-0.003,0,0,6500,0
97,-0.9965,0,0,0,6500,0
98,-0.9965,-0.0061,0,0,6500,0
99,-0.9965,-0.003,0,0,6500,0
100,-0.9965,0.003,0,0,6500,0
101,-0.9965,-0.0061,0,0,6500,0
102,-0.9965,-0.003,0,0,6500,0
103,-0.9965,0.003,0,0,6500,0
104,-0.9965,0,0,0,6500,0
105,-0.9965,0,0,0,6500,0
106,-0.9965,-0.003,0,0,6500,0
107,-0.9965,0.0091,0,0,6500,0
108,-0.9965,0,0,0,6500,0
109,-0.9965,-0.003,0,0,6500,0
110,-0.9965,0.0061,0,0,6500,0
111,-0.9965,0.0061,0,0,6500,0
112,-0.9965,0,0,0,6500,0
113,-0.9965,-0.003,0,0,6500,0
114,-0.9965,0.0091,0,0,6500,0
115,-0.9965,-0.003,0,0,6500,0
116,-0.9965,-0.0061,0,0,6500,0
117,-0.9965,0,0,0,6500,0
118,-0.9965,0.003,0,0,6500,0
119,-0.9965,0,0,0,6500,0
120,-0.9965,-0.003,0,0,6500,0
121,-0.9965,0.003,0,0,6500,0
122,-0.9965,0,0,0,6500,0
123,-0.9965,-0.003,0,0,6500,0
124,-0.9965,-0.0061,0,0,6500,0
125,-0.9965,-0.003,0,0,6500,0
126,-0.9965,0,0,0,6500,0
