cnt,pos,speed,DTorque,DAC,STorque,Force
1,-80.004,-0.0274,2,0,0,0
3,-80.0037,0.0012,2,0,0,0
5,-80.0037,-0.0143,3,0,0,1
7,-80.0038,-0.0107,3,0,0,1
9,-80.0038,-0.0012,3,0,0,1
11,-80.0038,0.0131,3,0,0,1
13,-80.0037,0.0215,3,0,0,1
15,-80.0036,0.0262,3,0,0,1
17,-80.0036,0.0262,3,0,0,1
19,-80.0035,0.0215,3,0,0,1
21,-80.0035,0.0143,3,0,0,1
23,-80.0035,0.0072,3,0,0,1
25,-80.0035,-0.0012,3,0,0,1
27,-80.0035,-0.0048,3,0,0,1
29,-80.0035,-0.0095,3,0,0,1
31,-80.0035,-0.0072,3,0,0,1
33,-80.0036,-0.006,4,0,0,1
35,-80.0036,-0.0012,4,0,0,1
37,-80.0036,0.0036,4,0,0,1
39,-80.0035,0.0048,3,0,0,1
41,-80.0035,0.0048,4,0,0,1
43,-80.0035,0.0083,4,0,0,1
45,-80.0035,0.0048,4,0,0,1
47,-80.0035,0.0024,4,0,0,1
49,-80.0035,0.0048,4,0,0,1
51,-80.0035,0.006,4,0,0,1
53,-80.0035,0.0095,4,0,0,1
55,-80.0034,0.0119,4,0,0,1
57,-80.0034,0.0155,4,0,0,1
59,-80.0034,0.0167,4,0,0,1
61,-80.0034,0.0143,4,0,0,1
63,-80.0033,0.0155,5,0,0,2
65,-80.0033,0.0131,5,0,0,2
67,-80.0033,0.0083,5,0,0,2
69,-80.0033,0.0072,5,0,0,2
71,-80.0032,0.0012,5,0,0,2
73,-80.0032,0.0036,5,0,0,2
75,-80.0032,0.0072,5,0,0,2
77,-80.0032,0.0095,5,0,0,2
79,-80.0032,0.0072,5,0,0,2
81,-80.0032,0.0072,5,0,0,2
83,-80.0032,0.0083,5,0,0,2
85,-80.0031,0.0083,5,0,0,2
87,-80.0031,0.0083,5,0,0,2
89,-80.0031,0.0083,5,0,0,2
91,-80.0031,0.006,5,0,0,2
93,-80.0031,0.0024,5,0,0,2
95,-80.0031,0.0036,5,0,0,2
97,-80.0031,0.0048,5,0,0,2
99,-80.003,0.0095,5,0,0,2
101,-80.003,0.0083,6,0,0,2
103,-80.003,0.0072,6,0,0,2
105,-80.003,0.0048,5,0,0,2
107,-80.003,0,6,0,0,2
109,-80.003,-0.0036,6,0,0,2
111,-80.003,-0.0024,6,0,0,2
113,-80.003,-0.0012,6,0,0,2
115,-80.003,0.006,6,0,0,2
117,-80.003,0.0036,6,0,0,2
119,-80.003,0.0048,6,0,0,2
121,-80.003,0.0048,6,0,0,2
123,-80.003,0.0036,6,0,0,2
125,-80.003,0.0036,6,0,0,2
127,-80.0029,0.0083,6,0,0,2
129,-80.0029,0.006,6,0,0,2
131,-80.0029,0.0024,6,0,0,2
133,-80.0029,0,6,0,0,2
135,-80.0029,-0.0012,6,0,0,2
137,-80.0029,-0.0012,6,0,0,2
139,-80.0029,0.0012,7,0,0,3
141,-80.0029,0.006,6,0,0,2
143,-80.0029,0.0036,7,0,0,3
145,-80.0029,0.0024,7,0,0,3
147,-80.0029,0.0036,7,0,0,3
149,-80.0029,0.0036,7,0,0,3
151,-80.0029,0.0048,7,0,0,3
153,-80.0029,0.0048,7,0,0,3
155,-80.0029,0.0024,7,0,0,3
157,-80.0029,0.0024,7,0,0,3
159,-80.0029,0.0024,7,0,0,3
161,-80.0028,0.0083,7,0,0,3
163,-80.0028,0.006,7,0,0,3
165,-80.0028,0.0131,7,0,0,3
167,-80.0028,0.0131,7,0,0,3
169,-80.0027,0.0095,7,0,0,3
171,-80.0027,0.006,7,0,0,3
173,-80.0027,0.0036,7,0,0,3
175,-80.0027,0.0024,8,0,0,3
177,-80.0027,0.0012,7,0,0,3
179,-80.0027,0.0012,7,0,0,3
181,-80.0027,-0.0012,8,0,0,3
183,-80.0027,-0.0024,7,0,0,3
185,-80.0027,-0.0012,8,0,0,3
187,-80.0027,0,8,0,0,3
189,-80.0027,0.0048,8,0,0,3
191,-80.0027,0.0095,8,0,0,3
193,-80.0027,0.0083,8,0,0,3
195,-80.0027,0.0072,8,0,0,3
197,-80.0026,0.0095,8,0,0,3
199,-80.0026,0.0131,8,0,0,3
201,-80.0026,0.0095,8,0,0,3
203,-80.0026,0.006,8,0,0,3
205,-80.0026,0.0048,8,0,0,3
207,-80.0025,0.0083,8,0,0,3
209,-80.0025,0.0083,8,0,0,3
211,-80.0025,0.0107,8,0,0,3
213,-80.0025,0.0083,8,0,0,3
215,-80.0025,0.006,8,0,0,3
217,-80.0025,0.0072,8,0,0,3
219,-80.0025,0.006,8,0,0,3
221,-80.0024,0.0024,8,0,0,3
223,-80.0024,0.006,8,0,0,3
225,-80.0024,0.006,9,0,0,4
227,-80.0024,0.0072,9,0,0,4
229,-80.0024,0.0072,8,0,0,3
231,-80.0024,0.0072,9,0,0,4
233,-80.0024,0.0072,9,0,0,4
235,-80.0024,0.0024,9,0,0,4
237,-80.0023,0.0024,9,0,0,4
239,-80.0023,0.0048,9,0,0,4
241,-80.0023,0.0036,9,0,0,4
243,-80.0023,0.0024,9,0,0,4
245,-80.0023,0.0036,9,0,0,4
247,-80.0023,0.0072,9,0,0,4
249,-80.0023,0.0083,9,0,0,4
251,-80.0023,0.0036,9,0,0,4
253,-80.0023,0.0012,9,0,0,4
255,-80.0023,-0.0012,9,0,0,4
257,-80.0023,-0.0048,9,0,0,4
259,-80.0023,-0.0024,9,0,0,4
261,-80.0023,0.0024,9,0,0,4
263,-80.0023,0.0024,9,0,0,4
265,-80.0023,0.0024,9,0,0,4
267,-80.0023,0.0072,9,0,0,4
269,-80.0023,0.0083,10,0,0,4
271,-80.0022,0.0095,9,0,0,4
273,-80.0022,0.006,9,0,0,4
275,-80.0022,0.0083,10,0,0,4
277,-80.0022,0.0107,9,0,0,4
279,-80.0022,0.0095,10,0,0,4
281,-80.0022,0.0072,10,0,0,4
283,-80.0021,0.0036,10,0,0,4
285,-80.0021,0.0048,10,0,0,4
287,-80.0021,0.0036,10,0,0,4
289,-80.0021,0,10,0,0,4
291,-80.0021,-0.0024,10,0,0,4
293,-80.0021,0,10,0,0,4
295,-80.0021,0,10,0,0,4
297,-80.0021,0.0012,10,0,0,4
299,-80.0021,0.0012,10,0,0,4
301,-80.0021,0.0024,10,0,0,4
303,-80.0021,0.0036,10,0,0,4
305,-80.0021,0.0095,10,0,0,4
307,-80.0021,0.0107,10,0,0,4
309,-80.002,0.0119,10,0,0,4
311,-80.002,0.0119,10,0,0,4
313,-80.002,0.0048,10,0,0,4
315,-80.002,0.0048,10,0,0,4
317,-80.002,0.0083,10,0,0,4
319,-80.0019,0.0036,10,0,0,4
321,-80.0019,0.0012,10,0,0,4
323,-80.0019,0,11,0,0,4
325,-80.0019,0.006,10,0,0,4
327,-80.0019,0.0072,11,0,0,4
329,-80.0019,0.0095,10,0,0,4
331,-80.0019,0.0048,11,0,0,4
333,-80.0019,-0.0012,11,0,0,4
335,-80.0019,0.0036,11,0,0,4
337,-80.0019,-0.0012,11,0,0,4
339,-80.0019,0.0048,11,0,0,4
341,-80.0019,0.0036,11,0,0,4
343,-80.0019,0.0036,11,0,0,4
345,-80.0019,0.006,11,0,0,4
347,-80.0018,0.0048,11,0,0,4
349,-80.0018,0.0083,11,0,0,4
351,-80.0018,0.006,11,0,0,4
353,-80.0018,0.0083,11,0,0,4
355,-80.0018,0.0036,11,0,0,4
357,-80.0018,-0.0024,11,0,0,4
359,-80.0018,0,11,0,0,4
361,-80.0018,0.0024,11,0,0,4
363,-80.0018,0,11,0,0,4
365,-80.0018,0.0036,11,0,0,4
367,-80.0018,0.0036,11,0,0,4
369,-80.0018,0.0024,11,0,0,4
371,-80.0018,-0.0024,11,0,0,4
373,-80.0018,-0.0072,11,0,0,4
375,-80.0018,-0.0036,11,0,0,4
377,-80.0018,0.0083,11,0,0,4
379,-80.0018,0.0107,11,0,0,4
381,-80.0018,0.006,11,0,0,4
383,-80.0017,0.0024,11,0,0,4
385,-80.0017,-0.0036,11,0,0,4
387,-80.0018,-0.0072,12,0,0,5
389,-80.0018,-0.0024,12,0,0,5
391,-80.0018,0.0048,11,0,0,4
393,-80.0018,0.0095,11,0,0,4
395,-80.0017,0.0107,11,0,0,4
397,-80.0017,0.006,12,0,0,5
399,-80.0017,-0.0048,12,0,0,5
401,-80.0017,0,12,0,0,5
403,-80.0017,0.006,12,0,0,5
405,-80.0017,0.0143,12,0,0,5
407,-80.0017,0.0179,12,0,0,5
409,-80.0016,0.0048,12,0,0,5
411,-80.0016,0.0036,12,0,0,5
413,-80.0016,-0.0072,12,0,0,5
415,-80.0016,-0.006,12,0,0,5
417,-80.0016,0.006,12,0,0,5
419,-80.0016,0.0143,12,0,0,5
421,-80.0016,0.0155,12,0,0,5
423,-80.0016,0.0155,12,0,0,5
425,-80.0015,0.0072,12,0,0,5
427,-80.0015,-0.0024,12,0,0,5
429,-80.0015,-0.0036,12,0,0,5
431,-80.0015,-0.0024,12,0,0,5
433,-80.0015,0,12,0,0,5
435,-80.0015,0,12,0,0,5
437,-80.0015,0.0048,12,0,0,5
439,-80.0015,0.0048,12,0,0,5
441,-80.0015,0.0024,12,0,0,5
443,-80.0015,0.0024,12,0,0,5
445,-80.0015,0,12,0,0,5
447,-80.0015,0.006,12,0,0,5
449,-80.0015,0.0036,12,0,0,5
451,-80.0015,0.0083,12,0,0,5
453,-80.0015,0.0024,12,0,0,5
455,-80.0015,0.0024,12,0,0,5
457,-80.0015,0.006,12,0,0,5
459,-80.0014,0.0036,12,0,0,5
461,-80.0014,0,12,0,0,5
463,-80.0014,0,13,0,0,5
465,-80.0014,0.0036,12,0,0,5
467,-80.0014,0.006,13,0,0,5
469,-80.0014,0.0083,12,0,0,5
471,-80.0014,0.0048,13,0,0,5
473,-80.0014,0.006,13,0,0,5
475,-80.0014,0.0072,12,0,0,5
477,-80.0014,0.0024,12,0,0,5
479,-80.0014,-0.006,12,0,0,5
481,-80.0014,-0.0024,13,0,0,5
483,-80.0014,0.0012,13,0,0,5
485,-80.0014,0.0036,13,0,0,5
487,-80.0014,0.006,13,0,0,5
489,-80.0014,0.0036,13,0,0,5
491,-80.0014,-0.0012,13,0,0,5
493,-80.0014,-0.006,13,0,0,5
495,-80.0014,-0.0048,13,0,0,5
497,-80.0014,-0.006,13,0,0,5
499,-80.0014,-0.0024,13,0,0,5
501,-80.0014,-0.0012,13,0,0,5
503,-80.0014,-0.0024,13,0,0,5
505,-80.0014,-0.0036,13,0,0,5
507,-80.0014,0.0012,13,0,0,5
509,-80.0014,0,13,0,0,5
511,-80.0014,0,13,0,0,5
513,-80.0014,-0.0012,13,0,0,5
515,-80.0014,-0.0012,13,0,0,5
517,-80.0014,0.0012,13,0,0,5
519,-80.0014,0.0024,13,0,0,5
521,-80.0014,0.0036,13,0,0,5
523,-80.0014,-0.0012,13,0,0,5
525,-80.0014,-0.0024,13,0,0,5
527,-80.0014,-0.0024,13,0,0,5
529,-80.0014,0,14,0,0,6
531,-80.0014,0.0012,13,0,0,5
533,-80.0014,0.0012,13,0,0,5
535,-80.0014,-0.0012,13,0,0,5
537,-80.0014,-0.0012,13,0,0,5
539,-80.0014,0,13,0,0,5
541,-80.0014,-0.0083,14,0,0,6
543,-80.0014,-0.0107,14,0,0,6
545,-80.0015,-0.0072,14,0,0,6
547,-80.0015,-0.0095,14,0,0,6
549,-80.0015,-0.0083,14,0,0,6
551,-80.0015,0,14,0,0,6
553,-80.0015,0.0024,14,0,0,6
555,-80.0015,0,14,0,0,6
557,-80.0015,0,14,0,0,6
559,-80.0015,0.0024,14,0,0,6
561,-80.0015,0,14,0,0,6
563,-80.0015,-0.0036,14,0,0,6
565,-80.0015,-0.0048,14,0,0,6
567,-80.0015,-0.0095,14,0,0,6
569,-80.0015,-0.0107,14,0,0,6
571,-80.0016,-0.0083,14,0,0,6
573,-80.0016,-0.0083,14,0,0,6
575,-80.0016,-0.0215,14,0,0,6
577,-80.0017,-0.037,14,0,0,6
579,-80.0018,-0.0334,15,0,0,6
581,-80.0018,-0.0286,14,0,0,6
583,-80.0019,-0.0155,15,0,0,6
585,-80.0019,-0.0107,14,0,0,6
587,-80.0019,-0.0072,15,0,0,6
589,-80.0019,-0.0072,15,0,0,6
591,-80.0019,-0.006,15,0,0,6
593,-80.002,-0.0036,15,0,0,6
595,-80.002,-0.0107,15,0,0,6
597,-80.002,-0.0095,15,0,0,6
599,-80.002,-0.0083,15,0,0,6
601,-80.002,-0.0119,15,0,0,6
603,-80.0021,-0.0119,15,0,0,6
605,-80.0021,-0.0131,15,0,0,6
607,-80.0021,-0.0107,15,0,0,6
609,-80.0022,-0.0072,15,0,0,6
611,-80.0022,-0.0024,15,0,0,6
613,-80.0022,0.0012,15,0,0,6
615,-80.0022,0,15,0,0,6
617,-80.0022,-0.0024,15,0,0,6
619,-80.0022,-0.0024,15,0,0,6
621,-80.0022,-0.0024,15,0,0,6
623,-80.0022,-0.0012,15,0,0,6
625,-80.0022,0.0012,15,0,0,6
627,-80.0022,-0.0012,16,0,0,7
629,-80.0022,0.0036,16,0,0,7
631,-80.0022,0.0024,16,0,0,7
