cnt,pos,speed,DTorque,DAC,STorque,Force,Dir
1,22.9659,0,0,0,0,0,1
2,22.9659,0.003,0,0,0,0,1
3,22.9659,-0.003,0,0,0,0,1
4,22.9659,0,0,0,0,0,1
5,22.9658,0,0,0,0,0,1
6,22.9658,0,0,0,0,0,1
7,22.9658,0.0061,0,0,0,0,1
8,22.9658,0.0061,0,0,0,0,1
9,22.9658,0.0091,0,0,0,0,1
10,22.9658,-0.003,0,0,0,0,1
11,22.9658,0,0,0,0,0,1
12,22.9658,0,0,0,0,0,1
13,22.9658,0.003,0,0,0,0,1
14,22.9658,0.003,0,0,0,0,1
15,22.9658,0.003,0,0,0,0,1
16,22.9658,0.003,0,0,0,0,1
17,22.9658,0,0,0,0,0,1
18,22.9658,0,0,0,0,0,1
19,22.9658,0.0061,0,0,0,0,1
20,22.9658,-0.003,0,0,0,0,1
21,22.9658,-0.003,0,0,0,0,1
22,22.9658,-0.003,0,0,0,0,1
23,22.9658,-0.003,0,0,0,0,1
24,22.9658,0,0,0,0,0,1
25,22.9658,0.003,0,0,0,0,1
26,22.9658,0.003,0,0,0,0,1
27,22.9658,-0.0061,0,0,0,0,1
28,22.9658,-0.0091,0,0,0,0,1
29,22.9658,0.003,0,0,0,0,1
30,22.9658,0.003,0,0,0,0,1
31,22.9658,0,0,0,0,0,1
32,22.9658,0.003,0,0,0,0,1
33,22.9658,-0.003,0,0,0,0,1
34,22.9658,0.0061,0,0,0,0,1
35,22.9658,0.003,0,0,0,0,1
36,22.9658,0.003,0,0,0,0,1
37,22.9658,0.003,0,0,0,0,1
38,22.9658,-0.0122,0,0,0,0,1
39,22.9658,0,0,0,0,0,1
40,22.9658,0,0,0,0,0,1
41,22.9658,-0.003,0,0,0,0,1
42,22.9658,0,0,0,0,0,1
43,22.9658,0,0,0,0,0,1
44,22.9658,0.0091,0,0,0,0,1
45,22.9658,0.003,0,0,0,0,1
46,22.9658,0.003,0,0,0,0,1
47,22.9658,-0.003,0,0,0,0,1
48,22.9658,0.003,0,0,0,0,1
49,22.9658,-0.003,0,0,0,0,1
50,22.9658,0,0,0,0,0,1
51,22.9658,-0.0091,0,0,0,0,1
52,22.9658,-0.0061,0,0,0,0,1
53,22.9658,0.003,0,0,0,0,1
54,22.9658,-0.0061,0,0,0,0,1
55,22.9658,-0.0061,0,0,0,0,1
56,22.9658,0.0061,0,0,0,0,1
57,22.9658,0,0,0,0,0,1
58,22.9658,0.0061,0,0,0,0,1
59,22.9658,0,0,0,0,0,1
60,22.9658,-0.0091,0,0,0,0,1
61,22.9658,0.0061,0,0,0,0,1
62,22.9658,0,0,0,0,0,1
63,22.9658,0.003,0,0,0,0,1
64,22.9658,-0.003,0,0,0,0,1
65,22.9658,0,0,0,0,0,1
66,22.9658,-0.003,0,0,0,0,1
67,22.9658,-0.003,0,0,0,0,1
68,22.9658,-0.003,0,0,0,0,1
69,22.9658,0.003,0,0,0,0,1
70,22.9658,0,0,0,0,0,1
71,22.9658,0,0,0,0,0,1
72,22.9658,-0.0061,0,0,0,0,1
73,22.9658,-0.003,0,0,0,0,1
74,22.9658,-0.003,0,0,0,0,1
75,22.9658,0,0,0,0,0,1
76,22.9658,-0.003,0,0,0,0,1
77,22.9658,0,0,0,0,0,1
78,22.9658,0,0,0,0,0,1
79,22.9658,-0.003,0,0,0,0,1
80,22.9658,-0.003,0,0,0,0,1
81,22.9658,0.003,0,0,0,0,1
82,22.9658,-0.0061,0,0,0,0,1
83,22.9658,0,0,0,0,0,1
84,22.9658,0.003,0,0,0,0,1
85,22.9658,-0.003,0,0,0,0,1
86,22.9658,0.0061,0,0,0,0,1
